Current (mA)	Voltage (mV)
0	-1.68E-05
0	-1.68E-05
-2	-0.0221329
-4	-0.0484893
-6	-0.0753235
-8	-0.102739
-10	-0.128734
-12	-0.154129
-14	-0.179632
-16	-0.207349
-18	-0.240323
-20	-0.277425
-22	-0.317135
-24	-0.359408
-26	-0.40465
-28	-0.453364
-30	-0.506676
-32	-0.564465
-34	-0.625277
-36	-0.685959
-38	-0.743041
-40	-0.793261
-42	-0.834581
-44	-0.868848
-46	-0.898996
-48	-0.926345
-50	-0.951588
-52	-0.975038
-54	-0.996931
-56	-1.0175
-58	-1.03681
-60	-1.05501
-60	-1.05497
-58	-1.03671
-56	-1.01737
-54	-0.996895
-52	-0.975107
-50	-0.95167
-48	-0.926427
-46	-0.899035
-44	-0.868966
-42	-0.834669
-40	-0.793234
-38	-0.742996
-36	-0.685899
-34	-0.625148
-32	-0.56438
-30	-0.50663
-28	-0.453314
-26	-0.404616
-24	-0.359364
-22	-0.31707
-20	-0.277364
-18	-0.240279
-16	-0.207334
-14	-0.179615
-12	-0.154069
-10	-0.128709
-8	-0.102397
-6	-0.0748137
-4	-0.0483519
-2	-0.0228915
0	4.33E-05
2	0.023442
4	0.0479792
6	0.0757753
8	0.102568
10	0.128775
12	0.154129
14	0.179756
16	0.207485
18	0.240413
20	0.277534
22	0.317348
24	0.359776
26	0.405103
28	0.453887
30	0.507244
32	0.565026
34	0.625859
36	0.686578
38	0.743645
40	0.793871
42	0.835219
44	0.869514
46	0.899587
48	0.926903
50	0.952074
52	0.975475
54	0.997288
56	1.01784
58	1.0371
60	1.05534
60	1.05534
58	1.03707
56	1.01776
54	0.997265
52	0.975472
50	0.952064
48	0.926916
46	0.89951
44	0.869314
42	0.835092
40	0.793834
38	0.74364
36	0.686644
34	0.625879
32	0.565026
30	0.507253
28	0.453913
26	0.405146
24	0.359772
22	0.317325
20	0.277492
18	0.240367
16	0.207423
14	0.179639
12	0.154073
10	0.128677
8	0.102568
6	0.0758285
4	0.0502089
2	0.0201835
0	0.00012662
