Current (mA)	Voltage (mV)
0	4.59E-06
0	2.98E-06
-0.1	4.00E-06
-0.2	2.43E-06
-0.3	-0.00330146
-0.4	-0.00445484
-0.5	-0.00563351
-0.6	-0.00681444
-0.7	-0.00782981
-0.8	-0.00878107
-0.9	-0.00994491
-1	-0.0111102
-1.1	-0.0122935
-1.2	-0.0134413
-1.3	-0.0144905
-1.4	-0.0154962
-1.5	-0.0164534
-1.6	-0.0174231
-1.7	-0.018455
-1.8	-0.0196307
-1.9	-0.0208823
-2	-0.022115
-2.1	-0.0233493
-2.2	-0.0245819
-2.3	-0.0258372
-2.4	-0.0271001
-2.5	-0.0283603
-2.6	-0.0295958
-2.7	-0.03082
-2.8	-0.0320772
-2.9	-0.0333833
-3	-0.0347417
-3	-0.0347459
-2.9	-0.033375
-2.8	-0.0320591
-2.7	-0.0308259
-2.6	-0.0296073
-2.5	-0.0283594
-2.4	-0.0270951
-2.3	-0.0258337
-2.2	-0.0245811
-2.1	-0.0233527
-2	-0.0221266
-1.9	-0.0208848
-1.8	-0.0196439
-1.7	-0.0184804
-1.6	-0.0174323
-1.5	-0.0164572
-1.4	-0.0155008
-1.3	-0.0145074
-1.2	-0.0134494
-1.1	-0.012311
-1	-0.0111298
-0.9	-0.00994822
-0.8	-0.00879365
-0.7	-0.00784755
-0.6	-0.00682239
-0.5	-0.00564583
-0.4	-0.00447298
-0.3	-0.00330994
-0.2	-7.15E-06
-0.1	-7.02E-06
1.94E-16	-6.66E-06
0.1	-7.35E-06
0.2	-9.20E-07
0.3	0.00332557
0.4	0.00441974
0.5	0.00564146
0.6	0.00686053
0.7	0.00799418
0.8	0.00903206
0.9	0.0101932
1	0.011269
1.1	0.012364
1.2	0.0134833
1.3	0.0145764
1.4	0.0156343
1.5	0.016658
1.6	0.017662
1.7	0.0186751
1.8	0.0197323
1.9	0.0208237
2	0.0219635
2.1	0.0231216
2.2	0.024229
2.3	0.0253176
2.4	0.0264236
2.5	0.0275342
2.6	0.0287109
2.7	0.0299729
2.8	0.0313509
2.9	0.0328514
3	0.0344554
3	0.03446
2.9	0.0328429
2.8	0.0313289
2.7	0.0299543
2.6	0.0286811
2.5	0.0275217
2.4	0.0264009
2.3	0.02531
2.2	0.0242058
2.1	0.0230984
2	0.0219452
1.9	0.0208076
1.8	0.0197111
1.7	0.0186493
1.6	0.0176429
1.5	0.0166616
1.4	0.0156494
1.3	0.0145866
1.2	0.0134844
1.1	0.0123485
1	0.011249
0.9	0.0101703
0.8	0.00903193
0.7	0.00799365
0.6	0.00686676
0.5	0.00564279
0.4	0.00445232
0.3	0.00333709
0.2	0.00059417
0.1	0.00029258
1.39E-16	0.00019094
-0.1	0.00013794
