Current (mA)	Voltage (mV)
0.67	0.00703032
0.68	0.00776901
0.69	0.00782007
0.7	0.00787236
0.71	0.00792321
0.72	0.00797515
0.73	0.00802543
0.74	0.00807574
0.75	0.00812591
0.76	0.00817766
0.77	0.00822856
0.78	0.0082795
0.79	0.00833155
0.8	0.00838446
0.81	0.00912782
0.82	0.00918378
0.83	0.00924203
0.84	0.00929682
0.85	0.00935439
0.86	0.00941228
0.87	0.00947088
0.88	0.00952874
0.89	0.00958642
0.9	0.00964403
0.91	0.00970124
0.92	0.00975742
0.93	0.0104799
0.94	0.0105403
0.95	0.0105978
0.96	0.0106539
0.97	0.0107073
0.98	0.0107603
0.99	0.0108153
1	0.0108692
1	0.0109107
0.99	0.0109336
0.98	0.0109419
0.97	0.0109404
0.96	0.0109299
0.95	0.0109141
0.94	0.0108933
0.93	0.0108688
0.92	0.0108403
0.91	0.0108089
0.9	0.0107752
0.89	0.0100534
0.88	0.00999318
0.87	0.00993704
0.86	0.00988119
0.85	0.0098227
0.84	0.00976521
0.83	0.00970744
0.82	0.00964745
0.81	0.00959033
0.8	0.00953208
0.79	0.00947585
0.78	0.00941923
0.77	0.00867908
0.76	0.00863371
0.75	0.00858274
0.74	0.00853119
0.73	0.00848077
0.72	0.00842998
0.71	0.00837968
0.7	0.00832828
0.69	0.0082776
0.68	0.00822775
0.67	0.00817609
0.66	0.00812418
0.65	0.00807183
0.64	0.00734345
0.63	0.00728398
0.62	0.00722442
0.61	0.00716394
0.6	0.00710318
0.59	0.00704333
0.58	0.00698218
0.57	0.00692139
0.56	0.00685985
0.55	0.00679828
0.54	0.00673515
0.53	0.00598252
0.52	0.0059255
0.51	0.00586389
0.5	0.0058051
0.49	0.00574562
0.48	0.00568534
0.47	0.00562689
0.46	0.00556906
0.45	0.00551074
0.44	0.00545156
0.43	0.00539188
0.42	0.00467934
0.41	0.00461801
0.4	0.00456018
0.39	0.00450189
0.38	0.00444516
0.37	0.00438956
0.36	0.0043341
0.35	0.00427851
0.34	0.00422472
0.33	0.00416993
0.32	0.00411584
0.31	0.00406151
0.3	0.00333696
0.29	0.0032747
0.28	0.00321351
0.27	0.00315023
0.26	0.00308808
0.25	0.00302567
0.24	0.00296244
0.23	0.00289662
0.22	0.00282003
0.21	0.00131894
0.2	0.00017695
0.19	8.89E-05
0.18	5.69E-05
0.17	3.73E-05
0.16	2.56E-05
0.15	1.79E-05
0.14	1.32E-05
0.13	1.06E-05
0.12	7.66E-06
0.11	5.27E-06
0.1	3.07E-06
0.09	1.97E-06
0.08	6.00E-08
0.07	-1.37E-06
0.06	-2.79E-06
0.05	-3.36E-06
0.04	-4.54E-06
0.03	-5.27E-06
0.02	-6.13E-06
0.01	-6.68E-06
-8.67E-17	-6.90E-06
